,bodeganorte
1697,212.51353
1698,370.3789
1699,540.5579
1700,763.19336
1701,821.08185
1702,789.7838
1703,760.3687
1704,523.1635
1705,492.44272
1706,297.89902
1707,116.257
1708,1.0939704
1709,-8.603541
1710,34.916553
1711,-0.072511874
1712,1.0214878
1713,4.4531565
1714,0.12159706
1715,2.500501
1716,-3.152729
1717,-7.3355093
1718,0.8028659
1719,147.78915
1720,446.1042
1721,650.77783
1722,810.8475
1723,832.036
1724,919.0068
1725,819.23676
1726,582.6765
1727,587.18115
1728,329.46774
1729,110.5221
1730,-14.362731
1731,38.88612
1732,25.297619
1733,29.338875
1734,44.566463
1735,20.09853
1736,3.8475442
1737,10.055082
1738,9.055773
1739,-2.8779743
1740,2.0568664
1741,175.58566
1742,395.3128
1743,616.15967
1744,658.87305
1745,840.1543
1746,820.42444
1747,799.5822
1748,525.9917
1749,510.87662
1750,299.8779
1751,119.05583
1752,-5.0682936
